No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Camera_;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Poco;Xiaomi Poco C31;https://www.gsmarena.com/xiaomi_poco_c31-11134.php;N/A;N/A;10W wired;Li-Po 5000 mAh;N/A;N/A;164.9 x 77.1 x 9 mm (6.49 x 3.04 x 0.35 in);Nano-SIM + Nano-SIM;194 g (6.84 oz);N/A;5.0, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;N/A;720 x 1600 pixels, 20:9 ratio (~269 ppi density);6.53 inches, 102.9 cm2 (~81.0% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, proximity;2021, September 30;Available. Released 2021, October 02;N/A;LED flash, HDR;N/A;N/A;"13 MP, f/2.2, (wide), 1.0µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM;Royal Blue, Shadow Gray;MZB0A0MIN, MZB0A0KIN, 211033MI, 22031116AI;About 90 EUR;0.51 W/kg (head)     0.83 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765G Helio G35 (12 nm);PowerVR GE8320;Android 10, MIUI 12;N/A;HDR;5 MP, f/2.2, (wide), 1.12µm;1080p@30fps;N/A;Yes;Yes
2;Poco;Xiaomi Poco X3;https://www.gsmarena.com/xiaomi_poco_x3-10461.php;N/A;N/A;33W wired;Li-Po 6000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Gorilla Glass 5), plastic frame, plastic back;165.3 x 76.8 x 10.1 mm (6.51 x 3.02 x 0.40 in);Nano-SIM + Nano-SIM;225 g (7.94 oz);N/A;5.1, A2DP, LE;Yes;No;GPS, GLONASS, BDS;FM radio, recording;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio);IPS LCD, 120Hz, HDR10, 450 nits (typ);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2020, September 22;Available. Released 2020, September 29;N/A;Dual-LED flash, HDR, panorama;"64 MP, f/1.9, (wide), 1/1.73"", 0.8µm, PDAF
13 MP, f/2.2, 119˚ (ultrawide), 1.0µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;"4K@30fps, 1080p@30/120fps, 720p@960fps; gyro-EIS";UFS 2.1;microSDXC (uses shared SIM slot);64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM;Cobalt Blue, Shadow Gray;MZB07Z0IN, MZB07Z1IN, MZB07Z2IN, MZB07Z3IN, MZB07Z4IN, MZB9965IN, M2007J20CI;About 230 EUR;0.75 W/kg (head)     0.61 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 8, 40, 41;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver);Qualcomm SM7150-AC Snapdragon 732G (8 nm);Adreno 618;Android 10, MIUI 12;N/A;HDR, panorama;"20 MP, f/2.2, (wide), 1/3.4"", 0.8µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers
3;Poco;Xiaomi Poco X7 Pro;https://www.gsmarena.com/xiaomi_poco_x7_pro-13582.php;N/A;N/A;"90W wired, PD3.0, QC3+, 100% in 42 min
Reverse wired";Si/C Li-Ion 6000 mAh (Global)Si/C Li-Ion 6550 mAh (India only);"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
Manufacturer-rated water-resistance (up to 2m for 48 h) - India only
IP69 (market/region dependent)";Glass front (Gorilla Glass 7i), plastic back, silicone polymer back (eco leather);160.8 x 75.2 x 8.3 mm (6.33 x 2.96 x 0.33 in);Nano-SIM + Nano-SIM;195 g or 198 g (6.88 oz);N/A;5.4/6.0, A2DP, LE, aptX HD;Yes;Yes (market/region dependent);GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), NavIC (L5);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;Corning Gorilla Glass 7i;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~88.8% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, HDR10+, 1400 nits (HBM), 3200 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, January 09;Available. Released 2025, January 09;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;N/A;4K@24/30/60fps, 1080p@30/60/120/240/960fps, HDR10+, gyro-EIS, OIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Black/Yellow, White, Green, Red (Iron Man Edition);2412DPC0AG, 2412DPC0AI;$ 349.99 / € 249.03 / £ 226.00 / ₹ 23,779;1.09 W/kg (head)     1.08 W/kg (body);0.99 W/kg (head)     0.99 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA/Sub6;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 12:43h;N/A;N/A;1265 nits max brightness (measured);-24.7 LUFS (Very good);"AnTuTu: 1568331 (v10)
GeekBench: 6311 (v6)
3DMark: 3880 (Wild Life Extreme)";Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725);Mediatek Dimensity 8400 Ultra (4 nm);Mali-G720 MC7;Android 15, HyperOS 2;N/A;N/A;"20 MP, f/2.2, 25mm (wide), 1/4.0"", 0.7µm";1080p@30fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers
4;Poco;Xiaomi Poco X2;https://www.gsmarena.com/xiaomi_poco_x2-10050.php;N/A;N/A;27W wired, 100% in 68 min;Li-Po 4500 mAh;Water-repellent coating;Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame;165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;208 g (7.34 oz);N/A;5.0, A2DP, LE;Yes;No;GPS, GLONASS, BDS;FM radio, recording;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~84.8% screen-to-body ratio);IPS LCD, 120Hz, HDR10, 500 nits (typ);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2020, February 04;Available. Released 2020, February 11;N/A;Dual-LED flash, HDR, panorama;"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;"4K@30fps, 1080p@30/120fps, 720p@960fps; gyro-EIS";UFS 2.1;microSDXC (uses shared SIM slot);64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;Atlantis Blue, Matrix Purple, Phoenix Red;MZB9011IN, MZB9012IN, MZB9013IN, MZB8741IN, MZB8742IN, MZB8743IN, MZB8744IN, MZB8745IN, MZB8746IN;About 200 EUR;1.08 W/kg (head)     0.62 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 5, 8, 40, 41;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver);Qualcomm SDM730 Snapdragon 730G (8 nm);Adreno 618;Android 10, upgradable to Android 11, MIUI 12.5;"20 MP, f/2.2, 27mm (wide), 1/3.4"", 0.8µm
2 MP, f/2.4, (depth)";HDR;N/A;1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes
5;Poco;Xiaomi Poco F7;https://www.gsmarena.com/xiaomi_poco_f7_5g-13951.php;N/A;N/A;"90W wired, PD3.0, QC3+, 80% in 30 min
22.5W reverse wired";6500 mAh - International modelSi/C Li-Ion 7550 mAh - India model;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass 7i), aluminum frame, glass back;163.1 x 77.9 x 8.2 mm (6.42 x 3.07 x 0.32 in);Nano-SIM + Nano-SIM;215.7 g (7.62 oz);N/A;6.0, A2DP, LE, aptX HD, aptX Adaptive, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;Corning Gorilla Glass 7i, Mohs level 5;1280 x 2772 pixels, 19.5:9 ratio (~447 ppi density);6.83 inches, 114.5 cm2 (~90.2% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 700 nits (typ), 1700 nits (HBM), 3200 nits (peak;64:03h endurance, 1000 cycles;Class B;Class D (45 falls);Class C;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, June 24;Available. Released 2025, June 24;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS;UFS 4.1;No;256GB 12GB RAM, 512GB 12GB RAM;Black, White, Cyber Silver;25053PC47G, 25053PC47I;$ 397.80 / € 388.00 / £ 319.00;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA/Sub6;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 14:45h;N/A;N/A;1525 nits max brightness (measured);-26.2 LUFS (Good);"AnTuTu: 2024751 (v10)
GeekBench: 6402 (v6)
3DMark: 4476 (Wild Life Extreme)";Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720);Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm);Adreno 825;Android 15, HyperOS 2;N/A;HDR;"20 MP, f/2.2, (wide), 1/4""";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers
6;Poco;Xiaomi Poco F5 Pro;https://www.gsmarena.com/xiaomi_poco_f5_pro-12257.php;N/A;N/A;"67W wired, PD3.0, QC3+, 50% in 15 min
30W wireless, 50% in 32 min";Li-Po 5160 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Gorilla Glass 5), glass back, plastic frame;162.8 x 75.4 x 8.6 mm (6.41 x 2.97 x 0.34 in);Nano-SIM + Nano-SIM;204 g (7.20 oz);N/A;5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;Corning Gorilla Glass 5;1440 x 3200 pixels, 20:9 ratio (~526 ppi density);6.67 inches, 107.4 cm2 (~87.5% screen-to-body ratio);AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 500 nits (typ), 1000 nits (HBM), 1400 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, May 09;Available. Released 2023, May;N/A;Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;"64 MP, f/1.8, (wide), 1/2.0"", 0.7µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS;UFS 3.1;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Black, White;23013PC75G;$ 391.87 / € 264.62;1.09 W/kg (head)     1.08 W/kg (body);1.00 W/kg (head)     1.00 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 38, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6;N/A;N/A;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;N/A;Endurance rating 99h;Photo / Video;1059 nits max brightness (measured);-26.2 LUFS (Good);"AnTuTu: 1057977 (v9)
GeekBench: 4001 (v5.1), 4009 (v6)
GFXBench: 50fps (ES 3.1 onscreen)";Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Adreno 730;Android 13, upgradable to Android 15;N/A;HDR;"16 MP, f/2.5, (wide), 1/3.06"", 1.0µm";1080p@30/60fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
7;Poco;Xiaomi Poco M2 Pro;https://www.gsmarena.com/xiaomi_poco_m2_pro-10318.php;N/A;N/A;33W wired;Li-Po 5000 mAh;Water-repellent coating;Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame;165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;209 g (7.37 oz);N/A;5.0, A2DP, LE;Yes;No;GPS, GLONASS, GALILEO, BDS;FM radio, recording;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~84.5% screen-to-body ratio);IPS LCD, HDR10, 450 nits (typ);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2020, July 07;Available. Released 2020, July 14;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro), AF
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM;Out Of The Blue, Green and Greener, Two Shades of Black;N/A;About 170 EUR;N/A;0.91 W/kg (head)     0.56 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 5, 8, 40, 41;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver);Qualcomm SM7125 Snapdragon 720G (8 nm);Adreno 618;Android 10, MIUI 12;N/A;HDR, panorama;"16 MP, f/2.5, (wide), 1/3.06"" 1.0µm";1080p@30/120fps;N/A;Yes;Yes
8;Poco;Xiaomi Poco F6 Pro;https://www.gsmarena.com/xiaomi_poco_f6_pro-12992.php;N/A;N/A;120W wired, PD3.0, QC3+, 100% in 19 min;5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front (Gorilla Glass 5), glass back, aluminum frame;160.9 x 75 x 8.2 mm (6.33 x 2.95 x 0.32 in);Nano-SIM + Nano-SIM;209 g (7.37 oz);N/A;5.3, A2DP, LE, aptX HD, LHDC;Yes;Yes (market/region dependent);GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7 (market/region dependent), tri-band, Wi-Fi Direct;Corning Gorilla Glass 5;1440 x 3200 pixels, 20:9 ratio (~526 ppi density);6.67 inches, 107.4 cm2 (~89.0% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 700 nits (typ), 1200 nits (HBM), 4000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, proximity, gyro, compass;2024, May 23;Available. Released 2024, May 23;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.6, (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)";8K@24fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS;UFS 4.0;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM;Black, White;23113RKC6G;$ 399.99 / € 362.54 / £ 289.00;1.09 W/kg (head)     1.08 W/kg (body);0.99 W/kg (head)     1.00 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 38, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 10:29h;N/A;N/A;1203 nits max brightness (measured);-24.8 LUFS (Very good);"AnTuTu: 1287854 (v9), 1584439 (v10)
GeekBench: 4859 (v5), 5310 (v6)";Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Adreno 740;Android 14, up to 3 major Android upgrades, HyperOS;N/A;HDR;16 MP, (wide);1080p@30/60fps, gyro-EIS;24-bit/192kHz Hi-Res & Hi-Res wireless audio;No;Yes, with stereo speakers
9;Poco;Xiaomi Poco M4 Pro;https://www.gsmarena.com/xiaomi_poco_m4_pro-11388.php;N/A;N/A;33W wired, PD3.0, QC3, 100% in 58 min;Li-Po 5000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Gorilla Glass 3), plastic frame, plastic back;159.9 x 73.9 x 8.1 mm (6.30 x 2.91 x 0.32 in);Nano-SIM + Nano-SIM;179.5 g (6.31 oz);N/A;5.0, A2DP, LE;Yes;Yes;GPS, GLONASS, BDS, GALILEO;FM radio, recording;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Corning Gorilla Glass 3;1080 x 2400 pixels, 20:9 ratio (~409 ppi density);6.43 inches, 99.8 cm2 (~84.5% screen-to-body ratio);AMOLED, 90Hz, 700 nits, 1000 nits (peak);N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, gyro, compass;2022, February 28;Available. Released 2022, March 16;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.8, 26mm (wide), 0.7µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";1080p@30fps;UFS 2.2;microSDXC (dedicated slot);64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Power Black, Cool Blue, Poco Yellow;MZB0B5VIN, 2201117PI, 2201117PG;€ 106.85;0.85 W/kg (head)     0.85 W/kg (body);0.59 W/kg (head)     0.84 W/kg (body);1, 3, 5, 8, 40, 41 - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 - International;N/A;N/A;N/A;HSPA, LTE (CA);GSM / HSPA / LTE;N/A;N/A;Endurance rating 126h;Photo / Video;737 nits max brightness (measured);-25.2 LUFS (Very good);"AnTuTu: 318444 (v9)
GeekBench: 1836 (v5.1)
GFXBench: 12fps (ES 3.1 onscreen)";Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek MT6781 Helio G96 (12 nm);Mali-G57 MC2;Android 11, MIUI 13 for POCO;N/A;HDR;"16 MP, f/2.5, (wide), 1/3.06"" 1.0µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers
10;Poco;Xiaomi Poco F5;https://www.gsmarena.com/xiaomi_poco_f5-12258.php;N/A;N/A;67W wired, PD3.0, QC4, 100% in 46 min;Li-Po 5000 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Gorilla Glass 5), plastic back, plastic frame;161.1 x 75 x 7.9 mm (6.34 x 2.95 x 0.31 in);Nano-SIM + Nano-SIM;181 g (6.38 oz);N/A;5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio);AMOLED, 68B colors, Dolby Vision, HDR10+, 120Hz, 500 nits (typ), 1000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, May 09;Available. Released 2023, May;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.8, (wide), 1/2.0"", 0.7µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120fps, gyro-EIS;UFS 3.1;No;256GB 8GB RAM, 256GB 12GB RAM;Black, Blue, White;23049PCD8G, 23049PCD8I;$ 339.99 / € 174.92 / ₹ 23,459;1.09 W/kg (head)     1.08 W/kg (body);0.99 W/kg (head)     1.00 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 11:52h;Endurance rating 118h;Photo / Video;963 nits max brightness (measured);-24.3 LUFS (Very good);"AnTuTu: 931174 (v9)
GeekBench: 3939 (v5.1), 4348 (v6)
GFXBench: 66fps (ES 3.1 onscreen)";Octa-core (1x2.91 GHz Cortex-X2 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510);Qualcomm SM7475-AB Snapdragon 7+ Gen 2 (4 nm);Adreno 725;Android 13, upgradable to Android 15, HyperOS;N/A;N/A;16 MP, f/2.5, (wide);1080p@30/60fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers
